[2019-05-16 16:14:10,461][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36gb[7.7%], shards will be relocated away from this node
[2019-05-16 16:14:40,616][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36gb[7.7%], shards will be relocated away from this node
[2019-05-16 16:14:40,619][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:15:10,580][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36gb[7.7%], shards will be relocated away from this node
[2019-05-16 16:15:40,544][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36gb[7.7%], shards will be relocated away from this node
[2019-05-16 16:16:10,510][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:16:10,513][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:16:40,473][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:17:10,437][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:17:40,403][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:17:40,405][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:18:10,366][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:18:40,331][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:18:40,334][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:19:10,297][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:19:40,262][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 37gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:19:40,265][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:20:10,226][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33gb[7.1%], shards will be relocated away from this node
[2019-05-16 16:20:40,192][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33gb[7.1%], shards will be relocated away from this node
[2019-05-16 16:21:10,171][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33gb[7.1%], shards will be relocated away from this node
[2019-05-16 16:21:10,172][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:21:40,119][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33gb[7.1%], shards will be relocated away from this node
[2019-05-16 16:22:10,084][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34gb[7.3%], shards will be relocated away from this node
[2019-05-16 16:22:40,048][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:22:40,048][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:23:10,014][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:23:39,978][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:23:39,978][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:24:09,944][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:24:39,908][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:24:39,909][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:25:09,873][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:25:39,837][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:25:39,838][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:26:09,802][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:26:39,766][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.5gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:26:39,767][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:27:09,732][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.5gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:27:39,696][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.5gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:27:39,697][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:28:09,661][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.5gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:28:39,626][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.4gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:28:39,627][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:29:09,589][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.4gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:29:39,554][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.4gb[7.6%], shards will be relocated away from this node
[2019-05-16 16:29:39,554][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:30:09,518][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.4gb[7.6%], shards will be relocated away from this node
[2019-05-16 16:30:39,483][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.4gb[7.6%], shards will be relocated away from this node
[2019-05-16 16:30:39,484][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:31:09,447][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.4gb[7.6%], shards will be relocated away from this node
[2019-05-16 16:31:39,413][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.4gb[7.6%], shards will be relocated away from this node
[2019-05-16 16:31:39,414][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:32:09,377][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:32:39,341][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.7gb[7.2%], shards will be relocated away from this node
[2019-05-16 16:33:09,307][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.7gb[7.2%], shards will be relocated away from this node
[2019-05-16 16:33:09,308][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:33:39,271][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.7gb[7.2%], shards will be relocated away from this node
[2019-05-16 16:34:09,235][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.7gb[7.2%], shards will be relocated away from this node
[2019-05-16 16:34:09,236][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:34:39,199][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.1gb[7.1%], shards will be relocated away from this node
[2019-05-16 16:35:09,164][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34gb[7.3%], shards will be relocated away from this node
[2019-05-16 16:35:09,165][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:35:39,129][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:36:09,094][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35gb[7.5%], shards will be relocated away from this node
